qid,leader,iso3,country_name,start_year,end_year,entry,exit,family_in_govt_count,family_in_govt_binary,family_in_govt_details,places_named_count,places_named_binary,places_named_details,grandiose_titles_count,grandiose_titles_binary,grandiose_titles_details
Q270368,Arturo Illia,ARG,ARG,1963,1966,Regular,Irregular,1,0,Silvia Martorell (spouse): First Lady of Argentina,5,1,Autopista Dr. Arturo Umberto Illia; Q5713349; Q5732810; Presidente Illia train station; Asociación Biblioteca Popular Arturo U. Illia,0,0,
Q313996,Viola,ARG,ARG,1981,1981,Regular,Retired Due to Ill Health,0,0,,0,0,,0,0,
Q124993,Galtieri,ARG,ARG,1981,1982,Irregular,Irregular,0,0,,0,0,,0,0,
Q298430,Bignone,ARG,ARG,1982,1983,Regular,Regular,0,0,,0,0,,0,0,
Q185107,Menem,ARG,ARG,1989,1999,Regular,Regular,1,0,Eduardo Menem (sibling): member of the Argentine Chamber of Senators,0,0,,0,0,
Q294578,Eduardo Duhalde,ARG,ARG,2002,2003,Regular,Regular,1,0,Hilda González de Duhalde (spouse): member of the Argentine Chamber of Deputies; Hilda González de Duhalde (spouse): member of the Argentine Chamber of Senators,0,0,,0,0,
Q367083,Pacheco Areco,URY,URU,1967,1972,Regular,Regular,1,0,Jorge Pacheco Klein (child): Member of the Chamber of Representatives of Uruguay,0,0,,0,0,
Q129006,Atlee,GBR,UKG,1945,1951,Regular,Regular,2,1,"Martin Attlee, 2nd Earl Attlee (child): member of the House of Lords; Violet Attlee, Countess Attlee (spouse): spouse of the prime minister of the United Kingdom",1,0,Attlee Glacier,2,1,Earl Attlee; Viscount Prestwood
Q8016,Churchill,GBR,UKG,1951,1955,Regular,Regular,3,1,Randolph Churchill (child): member of the 37th Parliament of the United Kingdom; Clementine Churchill (spouse): spouse of the prime minister of the United Kingdom; Clementine Churchill (spouse): member of the House of Lords; Lord Randolph Churchill (parent): Chancellor of the Exchequer; Lord Randolph Churchill (parent): Secretary of State for India; Lord Randolph Churchill (parent): Leader of the House of Commons; Lord Randolph Churchill (parent): member of the 21st Parliament of the United Kingdom; Lord Randolph Churchill (parent): member of the 22nd Parliament of the United Kingdom; Lord Randolph Churchill (parent): member of the 23rd Parliament of the United Kingdom; Lord Randolph Churchill (parent): member of the 24th Parliament of the United Kingdom,96,1,Churchill College; Churchill; USS Winston S. Churchill; Churchill-laan; Churchillplein; Churchill Peninsula; Churchilllaan; avenue Winston-Churchill; International Churchill Society; HMS Churchill; Churchill Mountains; Churchillparken; Winston Churchill Bridge; Winston; Churchill Club; Churchill station; Churchill Square; Churchill Theatre; Churchill–Roosevelt Highway; SR Battle of Britain class 21C151 “Winston Churchill”,5,1,Sir; The Right Honourable; The Old Lion; The pug; Le vieux Lion
Q128995,Eden,GBR,UKG,1955,1957,Regular,Retired Due to Ill Health,2,1,"Nicholas Eden, 2nd Earl of Avon (child): member of the House of Lords; Clarissa Eden (spouse): spouse of the prime minister of the United Kingdom",4,1,Q1283493; Anthony Eden hat; Eden Glacier; Anthony Edenstraat,3,1,The Right Honourable; Earl of Avon; Viscount Eden
