qid,leader,ccode,iso3,country,start_year,end_year,theta,theta_se,theta_inst,theta_cult,gwf_regimetype,gwf_personal,gwf_years_matched
Q365172,Arias Navarro,230,ESP,Spain,1975,1976,0.251964682424613,0.6193620870872485,1.2414111146060385,-0.0834775774684437,personal,1.0,2
Q58077,Petro Poroshenko,369,UKR,Ukraine,2014,2015,0.2501536317830672,0.6159321080144515,2.6361538977340255,-0.4993903874933373,,,0
Q310855,Boumedienne,615,DZA,Algeria,1965,1978,0.2148131407489445,0.6131371021843317,-0.1502887232911561,0.7213209164800538,party-military,0.0,14
Q52183,Hasina Wazed,771,BGD,Bangladesh,2009,2015,0.2148131407489445,0.6131371021843317,-0.1502887232911561,0.7213209164800538,,,0
Q469875,Mohammed Ali,770,PAK,Pakistan,1953,1955,0.1880328971439202,0.633809701265643,-0.1487645764695935,0.4142693274765367,oligarchy,0.0,3
Q557995,Kayibanda,517,RWA,Rwanda,1961,1973,0.1880328971439202,0.633809701265643,-0.1487645764695935,0.4142693274765367,party-based,0.0,11
Q57308,Bouteflika,615,DZA,Algeria,1999,2015,0.1880328971439202,0.633809701265643,-0.1487645764695935,0.4142693274765367,military,0.0,12
Q273259,Dzeliwe Shongwe,572,SWZ,Eswatini,1982,1983,0.1847030021227141,0.6681111845289397,0.0324150586673437,-0.0551482592567135,monarchy,0.0,2
Q57444,Sayasone,812,LAO,Laos,2006,2015,0.1847030021227141,0.6681111845289397,0.0324150586673437,-0.0551482592567135,party-based,0.0,5
Q739795,Nguyen Van Linh,816,VNM,Vietnam,1986,1991,0.1847030021227141,0.6681111845289397,0.0324150586673437,-0.0551482592567135,party-based,0.0,6
Q1068511,Chavalit Yongchaiyudh,800,THA,Thailand,1996,1997,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,,,0
Q1373905,Thawan Thamrongnawasawat,800,THA,Thailand,1946,1947,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,personal,1.0,2
Q16140300,Niwattumrong Boonsongpaisan,800,THA,Thailand,2014,2014,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,,,0
Q210069,Obote,500,UGA,Uganda,1962,1971,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,personal,1.0,5
Q212058,Levy Mwanawasa,551,ZMB,Zambia,2002,2008,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,party-based,0.0,7
Q262589,Gebre Kidan,530,ETH,Ethiopia,1991,1991,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,military-personal,1.0,1
Q298079,Chulanont,800,THA,Thailand,2006,2008,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,military,0.0,1
Q298718,Ahidjo,471,CMR,Cameroon,1960,1982,0.1539212181013835,0.6647991755805044,-0.1469957884860511,-0.0387199350050526,party-personal,1.0,22
